"log_id","shipment_id","container_id","sensor_id","timestamp","temperature_celsius","humidity_percent","location_latitude","location_longitude","location_description","alarm_triggered","alarm_type","operator_id","remarks"
"LOG00039","SHIP1019","CONT2019","SENS3028","2024-06-19T14:10:00Z","100","0","0","180","Synthetic Max Boundary Test","true","temperature_high","","Extreme test scenario"
"LOG00040","SHIP1019","CONT2019","SENS3028","2024-06-19T16:20:00Z","99.9","1.1","0","180","Synthetic Max Boundary Test","true","temperature_high","","Edge: temperature boundary"
"LOG00041","SHIP1020","CONT2020","SENS3029","2024-06-20T13:00:00Z","3.2","69.4","37.7749","-122.4194","San Francisco Storage","false","none","OPR021",""
"LOG00042","SHIP1020","CONT2020","SENS3029","2024-06-20T15:15:00Z","4.8","71.6","37.7749","-122.4194","San Francisco Storage","false","none","OPR021",""
"LOG00043","SHIP1021","CONT2021","SENS3030","2024-06-21T02:35:00Z","0","81.4","39.9042","116.4074","Beijing Airport Facility","true","humidity_high","OPR022","Humidity exceeding threshold"
"LOG00044","SHIP1021","CONT2021","SENS3031","2024-06-21T04:50:00Z","1.1","85.6","39.9042","116.4074","Beijing Airport Facility","true","humidity_high","OPR022",""
"LOG00045","SHIP1022","CONT2022","SENS3032","2024-06-22T12:40:00Z","-0.7","99","34.0522","-118.2437","Los Angeles Port Facility","true","humidity_high","OPR023","High humidity at port"
"LOG00046","SHIP1022","CONT2022","SENS3032","2024-06-22T15:10:00Z","1.4","96.8","34.0522","-118.2437","Los Angeles Port Facility","true","humidity_high","OPR023",""
"LOG00047","SHIP1023","CONT2023","SENS3033","2024-06-23T09:20:00Z","6.5","74.5","19.4326","-99.1332","Mexico City Central Facility","false","none","OPR024",""
"LOG00048","SHIP1023","CONT2023","SENS3033","2024-06-23T11:35:00Z","5.2","71.7","19.4326","-99.1332","Mexico City Central Facility","false","none","OPR024","Routine"
"LOG00049","SHIP1024","CONT2024","SENS3034","2024-06-24T13:10:00Z","2.4","68.5","43.6532","-79.3832","Toronto Warehouse","false","none","OPR025",""
"LOG00050","SHIP1024","CONT2024","SENS3034","2024-06-24T15:30:00Z","3.6","70.1","43.6532","-79.3832","Toronto Warehouse","false","none","OPR025",""
"LOG00051","SHIP0021","CONT0031","SENS0101","2023-06-10T08:15:00Z","5.2","65.5","35.6895","139.6917","Tokyo Central Warehouse","false","none","OPR101",""
"LOG00052","SHIP0021","CONT0031","SENS0101","2023-06-10T10:15:00Z","5.8","67.9","35.6895","139.6917","Tokyo Central Warehouse","false","none","OPR101",""
"LOG00053","SHIP0022","CONT0032","SENS0102","2023-06-11T06:05:00Z","-22.7","86.3","59.3293","18.0686","Stockholm Cold Storage","true","temperature_low","OPR104","Temperature dropped below threshold"
"LOG00054","SHIP0022","CONT0032","SENS0102","2023-06-11T12:00:00Z","-17.2","84.1","59.3293","18.0686","Stockholm Cold Storage","false","none","OPR104","Frozen shipment"
"LOG00055","SHIP0023","CONT0033","SENS0103","2023-06-12T07:45:00Z","44.1","17.3","25.276987","55.296249","Dubai Highway Checkpoint","false","none","OPR110","Desert conditions"
"LOG00056","SHIP0023","CONT0033","SENS0104","2023-06-12T09:45:00Z","99.7","2.6","25.276987","55.296249","Dubai Highway Checkpoint","true","temperature_high","","Extreme test scenario"
"LOG00057","SHIP0024","CONT0034","SENS0105","2023-06-13T08:00:00Z","7.7","72.9","48.8566","2.3522","Paris City Warehouse","false","none","OPR102",""
"LOG00058","SHIP0024","CONT0034","SENS0105","2023-06-13T12:00:00Z","8","74.1","48.8566","2.3522","Paris City Warehouse","false","none","OPR102",""
"LOG00059","SHIP0025","CONT0035","SENS0106","2023-06-14T09:30:00Z","18.4","83.7","60.1699","24.9384","Helsinki Port Terminal","true","humidity_high","OPR103","Humidity exceeding threshold"
"LOG00060","SHIP0025","CONT0035","SENS0106","2023-06-14T15:30:00Z","19.2","78.6","60.1699","24.9384","Helsinki Port Terminal","false","none","OPR103",""
"LOG00061","SHIP0026","CONT0036","SENS0107","2023-06-15T11:00:00Z","-100","0","-90","0","Antarctic Field Test","true","temperature_low","","Edge: minimum temperature boundary"
"LOG00062","SHIP0027","CONT0037","SENS0108","2023-06-16T08:20:00Z","2.5","62.4","40.7128","-74.006","NYC Distribution Center","false","none","OPR107",""
"LOG00063","SHIP0027","CONT0037","SENS0108","2023-06-16T14:20:00Z","3.1","66.7","40.7128","-74.006","NYC Distribution Center","false","none","OPR107",""
"LOG00064","SHIP0028","CONT0038","SENS0109","2023-06-17T07:10:00Z","49.5","13.1","29.7604","-95.3698","Houston Freight Yard","false","none","OPR112","High ambient temperature"
"LOG00065","SHIP0028","CONT0038","SENS0110","2023-06-17T09:10:00Z","100","0","0","180","Synthetic Max Boundary Test","true","temperature_high","","Edge: maximum temperature boundary"
"LOG00066","SHIP0029","CONT0039","SENS0111","2023-06-18T11:55:00Z","13.8","72.1","52.52","13.405","Berlin Warehouse Facility","false","none","OPR111",""
"LOG00067","SHIP0029","CONT0039","SENS0112","2023-06-18T17:55:00Z","12.6","70.3","52.52","13.405","Berlin Warehouse Facility","false","none","OPR111",""
"LOG00068","SHIP0030","CONT0040","SENS0113","2023-06-19T10:10:00Z","-7.8","93.2","55.7558","37.6173","Moscow Refrigerated Depot","false","none","OPR114",""
"LOG00069","SHIP0030","CONT0040","SENS0114","2023-06-19T16:10:00Z","-19.6","92.5","55.7558","37.6173","Moscow Refrigerated Depot","true","temperature_low","OPR114","Temperature dropped below threshold"
"LOG00070","SHIP0031","CONT0041","SENS0115","2023-06-20T09:35:00Z","6.4","61.2","51.5074","-0.1278","London Storage Facility","false","none","OPR116",""
"LOG00071","SHIP0031","CONT0041","SENS0115","2023-06-20T13:35:00Z","7.1","62.7","51.5074","-0.1278","London Storage Facility","false","none","OPR116",""
"LOG00072","SHIP0032","CONT0042","SENS0116","2023-06-21T08:40:00Z","3.9","75","48.2082","16.3738","Vienna Packing Plant","false","none","OPR117",""
"LOG00073","SHIP0032","CONT0042","SENS0117","2023-06-21T14:40:00Z","4.3","74.5","48.2082","16.3738","Vienna Packing Plant","false","none","OPR117",""
"LOG00074","SHIP0033","CONT0043","SENS0118","2023-06-22T08:00:00Z","12.2","94.1","41.9028","12.4964","Rome Cold Chain Facility","true","humidity_high","OPR120","Humidity exceeding threshold"
"LOG00075","SHIP0033","CONT0043","SENS0119","2023-06-22T14:00:00Z","13","89.7","41.9028","12.4964","Rome Cold Chain Facility","true","humidity_high","OPR120",""
"LOG00076","SHIP0034","CONT0044","SENS0120","2023-06-23T07:50:00Z","0","100","0","0","Equator Test Point","true","humidity_high","","System edge case"
"LOG00077","SHIP0035","CONT0045","SENS0121","2023-06-24T09:05:00Z","23.8","38.2","37.7749","-122.4194","San Francisco Terminal","false","none","OPR121",""
"LOG00078","SHIP0036","CONT0046","SENS0122","2023-06-25T08:55:00Z","6.7","63.1","31.2304","121.4737","Shanghai Distribution Hub","false","none","OPR122",""
"LOG00079","SHIP0037","CONT0047","SENS0123","2023-06-26T07:40:00Z","8.3","67.6","-33.8688","151.2093","Sydney North Warehouse","false","none","OPR125",""
"LOG00080","SHIP0037","CONT0047","SENS0123","2023-06-26T13:40:00Z","9.1","69.2","-33.8688","151.2093","Sydney North Warehouse","false","none","OPR125",""
"LOG00081","SHIP0038","CONT0048","SENS0124","2023-06-27T08:35:00Z","-99.9","1","90","-135","North Pole Station","true","temperature_low","","Edge: minimum temperature boundary"
"LOG00082","SHIP0039","CONT0049","SENS0125","2023-06-28T09:25:00Z","27.1","72.5","50.1109","8.6821","Frankfurt Main Terminal","false","none","OPR127",""
"LOG00083","SHIP0040","CONT0050","SENS0126","2023-06-29T10:15:00Z","18","82.8","45.4642","9.19","Milan Cold Storage","true","humidity_high","OPR128",""
"LOG00084","SHIP0040","CONT0050","SENS0126","2023-06-29T14:15:00Z","17.2","82.3","45.4642","9.19","Milan Cold Storage","true","humidity_high","OPR128",""
"LOG00085","SHIP0041","CONT0051","SENS0127","2023-06-30T07:40:00Z","6.3","62.8","34.0522","-118.2437","Los Angeles City Storage","false","none","OPR130",""
"LOG00086","SHIP0042","CONT0052","SENS0128","2023-07-01T09:10:00Z","-9.4","92.9","43.6532","-79.3832","Toronto Refrigeration Hub","false","none","OPR133",""
"LOG00087","SHIP0043","CONT0053","SENS0129","2023-07-02T08:20:00Z","28.4","29.5","19.4326","-99.1332","Mexico City Depot","false","none","OPR134","Routine check"
"LOG00088","SHIP0044","CONT0054","SENS0130","2023-07-03T11:30:00Z","0","0","0","0","Mobile Sensor No Location","false","none","","GPS signal lost"
"LOG00089","SHIP0045","CONT0055","SENS0131","2023-07-04T13:15:00Z","-26.5","88.2","37.9838","23.7275","Athens Frozen Facility","true","temperature_low","OPR136","Temperature dropped below threshold"
"LOG00090","SHIP0046","CONT0056","SENS0132","2023-07-05T09:40:00Z","5.9","68.7","55.9533","-3.1883","Edinburgh Main Storage","false","none","OPR138",""
"LOG00091","SHIP0047","CONT0057","SENS0133","2023-07-06T08:25:00Z","98.3","6.8","27.1751","78.0421","Agra Highway Test","true","temperature_high","","Extreme test scenario"
"LOG00092","SHIP0048","CONT0058","SENS0134","2023-07-07T09:50:00Z","4.6","65.8","1.3521","103.8198","Singapore City Warehouse","false","none","OPR140",""
"LOG00093","SHIP0048","CONT0058","SENS0134","2023-07-07T15:50:00Z","5.2","67.1","1.3521","103.8198","Singapore City Warehouse","false","none","OPR140",""
"LOG00094","SHIP0049","CONT0059","SENS0135","2023-07-08T08:00:00Z","3.4","74.2","35.6762","139.6503","Tokyo East Storage","false","none","OPR141",""
"LOG00095","SHIP0050","CONT0060","SENS0136","2023-07-09T12:10:00Z","5.6","64.9","13.7563","100.5018","Bangkok Distribution Center","false","none","OPR142",""
"LOG00096","SHIP0051","CONT0061","SENS0137","2023-07-10T08:20:00Z","8.4","62.2","55.6761","12.5683","Copenhagen Main Storage","false","none","OPR143",""
"LOG00097","SHIP0052","CONT0062","SENS0138","2023-07-11T09:30:00Z","21.6","69.9","59.9139","10.7522","Oslo Distribution","false","none","OPR144",""
"LOG00098","SHIP0052","CONT0062","SENS0138","2023-07-11T14:30:00Z","22.1","68.3","59.9139","10.7522","Oslo Distribution","false","none","OPR144",""
"LOG00099","SHIP0053","CONT0063","SENS0139","2023-07-12T10:40:00Z","-100","100","-90","-180","Antarctic South Boundary Test","true","temperature_low","","System edge case"
"LOG00100","SHIP0054","CONT0064","SENS0140","2023-07-13T08:00:00Z","4.8","73.2","41.3851","2.1734","Barcelona Logistics Hub","false","none","OPR146",""
"LOG00151","SHIP1007","CONT2007","SENS3007","2023-09-01T08:10:00Z","5.4","64.2","40.7128","-74.006","NYC Main Distribution Warehouse","false","none","OPR033",""
"LOG00152","SHIP1007","CONT2007","SENS3008","2023-09-01T09:00:00Z","6.1","65.3","40.7128","-74.006","NYC Main Distribution Warehouse","false","none","OPR033",""
"LOG00153","SHIP1007","CONT2007","SENS3007","2023-09-01T10:30:00Z","7.2","67.8","40.7128","-74.006","NYC Main Distribution Warehouse","false","none","OPR033","Routine check completed"
"LOG00154","SHIP1007","CONT2008","SENS3009","2023-09-02T08:15:00Z","2.3","71.5","40.7128","-74.006","NYC Cold Storage Section B","false","none","OPR034",""
"LOG00155","SHIP1007","CONT2008","SENS3010","2023-09-02T09:12:00Z","-20.6","87.4","40.7128","-74.006","NYC Cold Storage Section B","true","temperature_low","OPR034","Temperature dropped below threshold"
"LOG00156","SHIP1011","CONT2013","SENS3018","2023-09-03T13:40:00Z","44.1","18.6","45.4642","9.19","Milan Highway Truck Unit","false","none","OPR035","Highway transit"
"LOG00157","SHIP1011","CONT2013","SENS3018","2023-09-03T14:20:00Z","46.5","17.1","45.4642","9.19","Milan Highway Truck Unit","false","none","OPR035",""
"LOG00158","SHIP1011","CONT2013","SENS3019","2023-09-03T16:01:00Z","99.4","12.9","45.4642","9.19","Milan Highway Truck Unit","true","temperature_high","","Extreme test scenario: temp above safe range"
"LOG00159","SHIP1012","CONT2014","SENS3021","2023-09-04T07:10:00Z","6.8","74.6","48.8566","2.3522","Paris Distribution Center","false","none","OPR036",""
"LOG00160","SHIP1012","CONT2014","SENS3021","2023-09-04T08:00:00Z","7.1","72.8","48.8566","2.3522","Paris Distribution Center","false","none","OPR036","Routine check"
"LOG00161","SHIP1012","CONT2015","SENS3022","2023-09-05T06:30:00Z","3.9","69.3","48.8566","2.3522","Paris Refrigerated Storage","false","none","OPR036",""
"LOG00162","SHIP1012","CONT2015","SENS3023","2023-09-05T08:30:00Z","-23.7","90.5","48.8566","2.3522","Paris Refrigerated Storage","true","temperature_low","OPR036","Frozen shipment detected"
"LOG00163","SHIP1012","CONT2015","SENS3022","2023-09-05T10:30:00Z","4.6","68.7","48.8566","2.3522","Paris Refrigerated Storage","false","none","OPR036",""
"LOG00164","SHIP1015","CONT2021","SENS3030","2023-09-06T11:12:00Z","18.6","81.3","35.6895","139.6917","Tokyo Port Facility","true","humidity_high","OPR037","Humidity exceeding threshold"
"LOG00165","SHIP1015","CONT2021","SENS3031","2023-09-06T13:45:00Z","19.8","73.9","35.6895","139.6917","Tokyo Port Facility","false","none","OPR037",""
"LOG00166","SHIP1015","CONT2022","SENS3032","2023-09-06T15:12:00Z","20.1","87.6","35.6895","139.6917","Tokyo Cross-dock Warehouse","true","humidity_high","OPR037",""
"LOG00167","SHIP1016","CONT2023","SENS3034","2023-09-08T17:59:00Z","100","0.2","0","0","Synthetic Max Boundary Test","true","temperature_high","","Edge: maximum temperature boundary"
"LOG00168","SHIP1016","CONT2023","SENS3035","2023-09-08T18:59:00Z","-100","0","-90","180","Antarctic Field Test - South Pole","true","temperature_low","","System edge case: minimum temperature boundary"
"LOG00169","SHIP1016","CONT2024","SENS3036","2023-09-09T12:55:00Z","0","100","90","-180","North Pole Station Synthetic","true","humidity_high","","Edge: maximum humidity boundary"
"LOG00170","SHIP1017","CONT2025","SENS3038","2023-09-10T09:10:00Z","11.9","69.4","52.52","13.405","Berlin Food Processing Facility","false","none","OPR038","Routine check"
"LOG00171","SHIP1017","CONT2025","SENS3038","2023-09-10T10:00:00Z","12.1","71.8","52.52","13.405","Berlin Food Processing Facility","false","none","OPR038",""
"LOG00172","SHIP1018","CONT2026","SENS3040","2023-09-11T14:10:00Z","-16.1","84.3","55.7558","37.6173","Moscow Frozen Goods Depot","false","none","OPR039","Frozen shipment"
"LOG00173","SHIP1018","CONT2026","SENS3040","2023-09-11T15:10:00Z","-20.3","89.9","55.7558","37.6173","Moscow Frozen Goods Depot","true","temperature_low","OPR039","Temperature dropped below threshold"
"LOG00174","SHIP1018","CONT2027","SENS3041","2023-09-12T11:35:00Z","3.3","77","60.1699","24.9384","Helsinki Central Storage","false","none","OPR040",""
"LOG00175","SHIP1019","CONT2028","SENS3043","2023-09-13T08:30:00Z","4.5","71.5","25.276987","55.296249","Dubai Export Warehouse","false","none","OPR041",""
"LOG00176","SHIP1019","CONT2028","SENS3043","2023-09-13T09:30:00Z","5.2","68.9","25.276987","55.296249","Dubai Export Warehouse","false","none","OPR041","Routine check"
"LOG00177","SHIP1021","CONT2031","SENS3046","2023-09-14T06:20:00Z","42","16.3","31.9686","-99.9018","Texas Highway Trailer","false","none","OPR042","Desert conditions"
"LOG00178","SHIP1021","CONT2031","SENS3046","2023-09-14T07:30:00Z","98.3","11","31.9686","-99.9018","Texas Highway Trailer","true","temperature_high","","Extreme test scenario: temp above safe range"
"LOG00179","SHIP1022","CONT2032","SENS3047","2023-09-15T13:00:00Z","25.7","85.6","59.3293","18.0686","Stockholm Port Authority","true","humidity_high","OPR043",""
"LOG00180","SHIP1022","CONT2032","SENS3047","2023-09-15T14:00:00Z","24.9","81.7","59.3293","18.0686","Stockholm Port Authority","true","humidity_high","OPR043","Humidity exceeding threshold"
"LOG00181","SHIP1023","CONT2034","SENS3050","2023-09-16T15:50:00Z","4.7","70","60.1699","24.9384","Helsinki Export Center","false","none","OPR044",""
"LOG00182","SHIP1023","CONT2035","SENS3051","2023-09-17T12:22:00Z","7.7","72.2","60.1699","24.9384","Helsinki Export Center","false","none","OPR044",""
"LOG00183","SHIP1023","CONT2035","SENS3052","2023-09-17T13:22:00Z","8.1","71.7","60.1699","24.9384","Helsinki Export Center","false","none","OPR044","Routine check"
"LOG00184","SHIP1025","CONT2040","SENS3056","2023-09-19T10:05:00Z","-99.9","100","0","0","Synthetic Min Boundary Test","true","temperature_low","","System edge case: minimum temperature boundary"
"LOG00185","SHIP1026","CONT2041","SENS3058","2023-09-20T14:55:00Z","28.8","61.4","-33.8688","151.2093","Sydney Metro Storage","false","none","OPR045",""
"LOG00186","SHIP1026","CONT2042","SENS3059","2023-09-20T16:12:00Z","30.2","65.8","-33.8688","151.2093","Sydney Metro Storage","false","none","OPR045","Routine check"
"LOG00187","SHIP1027","CONT2043","SENS3060","2023-09-21T11:31:00Z","7","60.6","52.3667","4.8945","Amsterdam Distribution Hub","false","none","OPR046",""
"LOG00188","SHIP1027","CONT2043","SENS3060","2023-09-21T12:31:00Z","7.8","62.1","52.3667","4.8945","Amsterdam Distribution Hub","false","none","OPR046","Routine check"
"LOG00189","SHIP1028","CONT2045","SENS3063","2023-09-22T14:00:00Z","4.2","63.9","19.4326","-99.1332","Mexico City Cold Storage","false","none","OPR047",""
"LOG00190","SHIP1028","CONT2045","SENS3063","2023-09-22T15:00:00Z","3.7","61.2","19.4326","-99.1332","Mexico City Cold Storage","false","none","OPR047","Routine check"
"LOG00191","SHIP1029","CONT2046","SENS3064","2023-09-23T11:45:00Z","6.5","70.5","37.7749","-122.4194","San Francisco Distribution Center","false","none","OPR048",""
"LOG00192","SHIP1029","CONT2046","SENS3065","2023-09-23T12:45:00Z","5.8","72.1","37.7749","-122.4194","San Francisco Distribution Center","false","none","OPR048",""
"LOG00193","SHIP1030","CONT2047","SENS3066","2023-09-24T18:33:00Z","8.5","71.3","34.0522","-118.2437","Los Angeles Port Facility","false","none","OPR049",""
"LOG00194","SHIP1030","CONT2047","SENS3066","2023-09-24T19:33:00Z","8.9","70","34.0522","-118.2437","Los Angeles Port Facility","false","none","OPR049",""
"LOG00195","SHIP1031","CONT2048","SENS3068","2023-09-25T09:25:00Z","0.3","85","41.9028","12.4964","Rome Import Warehouse","true","humidity_high","OPR050",""
"LOG00196","SHIP1031","CONT2048","SENS3068","2023-09-25T10:25:00Z","-3.8","86.2","41.9028","12.4964","Rome Import Warehouse","true","humidity_high","OPR050","Humidity exceeding threshold"
"LOG00197","SHIP1032","CONT2050","SENS3070","2023-09-26T14:12:00Z","2.2","60.8","35.6895","139.6917","Tokyo Refrigeration Center","false","none","OPR051",""
"LOG00198","SHIP1032","CONT2050","SENS3071","2023-09-26T15:12:00Z","3.1","61.9","35.6895","139.6917","Tokyo Refrigeration Center","false","none","OPR051","Routine check"
"LOG00199","SHIP1033","CONT2052","SENS3073","2023-09-27T10:01:00Z","7.6","73.5","55.7558","37.6173","Moscow Food Depot","false","none","OPR052",""
"LOG00200","SHIP1033","CONT2052","SENS3073","2023-09-27T11:01:00Z","7.2","74.8","55.7558","37.6173","Moscow Food Depot","false","none","OPR052",""
"LOG0002000","SHIP0120","CONT0110","SENS0110","2024-06-01T07:32:15Z","6.4","69.2","41.9009","12.4833","Rome Central Distribution Center","false","none","OPR029","Routine inspection"
"LOG0002001","SHIP0120","CONT0110","SENS0111","2024-06-01T09:19:10Z","7.2","65.3","41.9009","12.4833","Rome Central Distribution Center","false","none","OPR029",""
"LOG0002002","SHIP0120","CONT0111","SENS0112","2024-06-01T13:48:05Z","6.7","71.5","41.9009","12.4833","Rome Central Distribution Center","false","none","OPR029",""
"LOG0002003","SHIP0121","CONT0112","SENS0113","2024-06-02T11:15:32Z","3.1","61.8","48.8566","2.3522","Paris North Warehouse","false","none","OPR030",""
"LOG0002004","SHIP0121","CONT0112","SENS0113","2024-06-02T13:43:40Z","3.6","62.4","48.8566","2.3522","Paris North Warehouse","false","none","OPR030",""
"LOG0002005","SHIP0121","CONT0113","SENS0114","2024-06-02T17:26:50Z","2.9","66.1","48.8566","2.3522","Paris North Warehouse","false","none","OPR030","Routine check"
"LOG0002006","SHIP0122","CONT0114","SENS0115","2024-06-03T08:57:22Z","-19.8","89.5","59.3293","18.0686","Stockholm Frozen Storage","true","temperature_low","OPR031","Temperature dropped below frozen threshold"
"LOG0002007","SHIP0122","CONT0114","SENS0116","2024-06-03T11:31:47Z","-16.5","85.7","59.3293","18.0686","Stockholm Frozen Storage","false","none","OPR031",""
"LOG0002008","SHIP0122","CONT0115","SENS0117","2024-06-03T14:11:10Z","-25.4","93.2","59.3293","18.0686","Stockholm Frozen Storage","true","temperature_low","OPR031","Extreme cold detected"
"LOG0002009","SHIP0123","CONT0116","SENS0118","2024-06-04T10:29:55Z","5.3","70.4","35.6895","139.6917","Tokyo Bay Storage Facility","false","none","OPR032",""
"LOG0002010","SHIP0123","CONT0117","SENS0119","2024-06-04T13:20:19Z","6.1","72.8","35.6895","139.6917","Tokyo Bay Storage Facility","false","none","OPR032",""
"LOG0002011","SHIP0123","CONT0116","SENS0118","2024-06-04T16:45:41Z","5.7","69.8","35.6895","139.6917","Tokyo Bay Storage Facility","false","none","OPR032",""
